tree;nest;entry;birds;birds_observed_in_nest;birds_observed_at_nest
1;A;1;K26, un;K26, un, un, un, un, un, un, un, un, un, un, un, un, un, un;un, T30, un, un
1;A;2;T93, S53, un;T93, S53, un;
1;A;3;;NA;NA
2;A;1;;un, un;un, M68
2;A;2;;NA;NA
2;A;3;J89, un;J89, un, J89, J99, un, un, I89, un, un, J89, un, J89;un
2;A;4;;;collar
2;A;5;N09, un, stump;N09, stump, un, collar, collar, un, un, collar, un, un;un, un, un
2;A;6;;MXX;un
2;A;7;un, T30;un, un, T30, un, un, un;N09
2;A;8;;un, stump;J89, un, N09
2;A;9;;N_;un
3;A;1;;un;
3;A;2;;unknown, un, un, un;un
3;A;3;;un, un;un
3;A;4;;un;
4;A;1;;;un
4;A;2;un, un, E36;un + un, E36, un, un, un, E36, E36, un, un;E36, un
4;A;3;;E36, un;X
4;A;4;;T90, T63;un + un + un
4;A;5;;E36;
5;A;1;;un, un, un;
5;A;2;;un, un;
5;A;3;;;un
5;A;4;;NA;NA
5;A;5;;un, un, un, un, un;
5;A;6;T90, T63;T63, un, un, T90, T63, T90, T63, T90, T63, X, X6X, T90;T90, T90, T63
5;A;7;;;T63
6;A;1;;un, un, un, un;un
7;A;1;J46, J13;J46, J13, J13, J46, J46, J13, J46, J46, J13;J46
7;A;2;;;J46
7;A;3;;NA;NA
7;A;4;;J46, J13;J13, J13
7;A;5;;;J33
7;A;6;;J13, J46, J13;
8;A;1;;NA;NA
8;A;2;;un, un;un
8;A;3;;;un, un
8;A;4;;un, un, un, un;un
9;A;1;;RX8;R18, R18, R18
9;A;2;R18, T71;R18, R16/8, T71, T71, J71, T71, T71, R18, R18, R18, T71, R18, T71;T71, R18, T71, T71, T71
9;A;3;;T71;R18, un
9;A;4;;R18;T71, R18
10;A;1;K41, un;K41, un, un, un, un;un, K41, un, un
10;A;2;;un;
10;A;3;;T71, un;K41, K41, K41, X, K41, K41
10;A;4;;NA;NA
10;A;5;;;K41
10;A;6;;un;
11;A;1;I49, un;I49, un, I49, unknown, unknown, I49, unknown, S56;
11;A;2;;;I49
12;A;1;;un, T24, T24;T24, un
12;A;2;;;un
12;A;3;T24, un, un;T24, un + un;
12;A;4;;D86;
13;A;1;S07, R20;X, S07, R20, R20, RX0, R20;R20, S07, R20, T96, un, S07, R20
13;A;2;T96;T96, S07, R20, R20;T96, R20
13;A;3;N23, D86;N23, D86, D86, N23, D86, N23, D86, D86, N23, D86;N22
14;A;1;K80, un;un, K80, un, K80, un, E01, KXX, un, un;
14;A;2;L35, M38;L35, M38, L35, MXX, X35, M38, L35, M38, L35, M38, LXX, L35, M38, L35, M38, L35;L35
14;A;3;;un;
14;A;4;E01, un;E01, un, un;un
15;A;1;K70, U20;K70, U20, U20, K70, U20, K70, unknown, K70;U20, K70, K70, K70
16;A;1;;K80, un, X, un;K80
17;A;1;;NA;NA
18;A;1;;J43, UK, un, T81, un, T81;
18;A;2;;J43, un, un;
18;A;3;;NA;NA
18;A;4;J43, un;J43;J43
19;A;1;un, T81;T81, un, T81, T81, un, T81, T81, T81, un, T81, un;un
19;A;2;;NA;NA
20;A;1;R87, un;R87, R87, R87, un, R87, un, R87, un, R87;un, R87
21;A;1;J14, un;un, J14, X, X, un, X, TXX, J14;T40, JX4, un
21;A;2;;TX3, un, X, un, i14;un, X
21;A;3;;T4X, un, un;
21;A;4;;NA;NA
22;A;1;;un + un;
22;A;2;;NA;NA
22;A;3;;un, un, un, un, un, un, un, un, un, un, un, un, un, un;un, un
23;A;1;;NA;NA
