tree;nest;entry;birds
201;A;1;un, un
201;A;2;J83, J84, J89
201;A;3;stump, un
201;A;4;
202;A;1;T30, T80
202;A;2;J14, un
203;A;1;E36, un
203;A;2;
204;A;1;V01, J13
205;A;1;U99, un
206;A;1;
207;A;1;U90, V03, V04
207;A;2;
208;A;1;
209;A;1;R18, T71
209;A;2;
210;A;1;D86, N23
210;A;2;M38, V02
210;A;3;
211;A;1;R20, T24, U46
212;A;1;
213;A;1;K70, U20
214;A;1;
215;A;1;
216;A;1;J43, un
217;A;1;
218;A;1;T76
219;A;1;T50, T78
219;A;2;
220;A;1;un
220;A;2;
220;A;3;V05, V08
220;A;4;V00, V06, V07
221;A;1;T46
221;A;2;N09, un
221;A;3;S81
222;A;1;
223;A;1;
224;A;1;U85, un
225;A;1;un
226;A;1;U62
227;A;1;
227;B;1;E84, E87, E89
227;B;2;J79, I65
227;B;3;H12
227;C;1;un
227;C;2;J73
227;C;3;
227;D;1;H83
227;D;2;
227;E;1;H38, U45
227;F;1;I80, T03
228;A;1;K64
228;B;1;
228;C;1;J03
228;D;1;H40, un
228;D;2;
228;D;3;
228;E;1;
229;A;1;E01, U68
230;A;1;K41, un
231;A;1;V11, un
232;A;1;
232;B;1;
233;A;1;
234;A;1;
234;A;2;
235;A;1;K49
235;A;2;un, V18
236;A;1;U42
236;A;2;
237;A;1;K96
237;A;2;V20, U47
238;A;1;K56, un
238;A;2;
238;A;3;
239;A;1;S43
239;A;2;
240;A;1;
241;A;1;
241;A;2;
242;A;1;
243;A;1;L23
243;A;2;J78
243;A;3;H43
243;B;1;U97
243;C;1;
243;D;1;
244;A;1;
245;A;1;R83
245;A;2;V12
245;A;3;
245;A;4;
245;A;5;
246;A;1;
246;B;1;
246;C;1;V10
247;A;1;U82
247;B;1;S19
247;C;1;
247;C;2;
248;A;1;
249;A;1;S26, un
249;B;1;V19, K76
249;B;2;J02, un
249;B;3;S93
249;B;4;U87
249;C;1;
249;C;2;H81
249;D;1;H83,ÊV13
249;E;1;E93,ÊG73
249;F;1;I12
249;G;1;L15, L09, un
249;H;1;
249;I;1;
250;A;1;T92
250;A;2;U69, un, E59
250;B;1;S45,ÊU55,ÊU59
250;B;2;G74
250;C;1;V21, H51
250;D;1;E38
250;E;1;U39
250;E;2;
250;F;1;U37, U83, U70, U38
250;G;1;
251;A;1;
252;A;1;T81, un
253;A;1;
254;A;1;
255;A;1;
256;A;1;
257;A;1;
258;A;1;
259;A;1;
