tree;nest;n_entries;cluster
1;A;3;square
2;A;9;square
3;A;4;square
4;A;5;square
5;A;7;square
6;A;1;square
7;A;6;square
8;A;4;square
9;A;4;square
10;A;6;square
11;A;2;square
12;A;4;square
13;A;2;square
14;A;4;square
15;A;1;square
16;A;1;square
17;A;1;square
18;A;4;square
19;A;2;square
20;A;1;square
21;A;4;square
22;A;3;square
23;A;1;museum
24;A;1;museum
24;B;1;museum
24;C;2;museum
24;D;1;museum
24;E;1;museum
24;G;1;museum
24;F;1;museum
25;A;2;museum
25;B;2;museum
25;C;1;museum
25;D;1;museum
25;E;2;museum
25;F;1;museum
25;G;1;museum
25;H;1;museum
26;A;1;high decidious
26;B;1;high decidious
27;A;1;zoo
28;A;1;parlament
28;B;1;parlament
28;C;3;parlament
28;D;1;parlament
28;E;2;parlament
28;F;1;parlament
29;A;1;parlament
29;B;3;parlament
29;C;1;parlament
29;D;1;parlament
29;E;1;parlament
29;F;1;parlament
29;G;1;parlament
29;H;2;parlament
30;A;1;fountain
30;B;1;fountain
30;C;1;fountain
31;A;1;mid
31;B;1;mid
32;A;3;mid
32;B;1;mid
32;C;1;mid
32;D;4;mid
33;A;1;mid
33;B;1;mid
33;C;1;mid
33;D;1;mid
33;E;2;mid
34;A;2;lake
35;A;1;behind lake
35;B;1;behind lake
36;A;2;fountain
36;B;1;fountain
36;C;1;fountain
36;D;1;fountain
36;E;1;fountain
36;F;1;fountain
36;G;1;fountain
37;A;4;behind lake
37;B;1;behind lake
37;C;1;behind lake
38;A;1;mid
39;A;1;other
40;A;1;fountain
41;A;4;square
42;A;1;fountain
43;A;1;museum
44;A;1;parlament
44;B;1;parlament
44;C;1;parlament
44;D;1;parlament
45;A;1;parlament
45;B;1;parlament
45;C;1;parlament
45;D;1;parlament
45;E;1;parlament
45;F;1;parlament
45;G;1;parlament
46;A;1;other
46;B;1;other
46;C;1;other
46;D;2;other
46;E;1;other
46;F;1;other
46;G;1;other
46;H;1;other
46;I;1;other
46;J;1;other
47;A;1;other
48;A;1;other
49;A;1;other
50;A;1;other
51;A;1;other
52;A;1;other
53;A;1;other
54;A;2;other
55;A;8;other
56;A;1;other
57;A;1;other
57;B;1;other
57;C;1;other
57;D;1;other
57;E;1;other
57;F;1;other
57;G;1;other
58;A;2;other
59;A;1;other
59;B;1;other
60;A;1;other
61;A;2;other
62;A;1;other
63;A;1;other
64;A;1;other
65;A;1;other
65;B;1;other
66;A;1;other
67;A;1;other
68;A;1;other
69;A;1;other
70;A;1;other
71;A;1;other
72;A;1;other
73;A;1;other
74;A;1;other
75;A;1;other
76;A;1;other
77;A;1;other
77;B;1;other
78;A;1;other
79;A;1;other
80;A;1;other
81;A;2;other
82;A;2;other
83;A;2;other
84;A;1;other
