tree;nest;n_entries;type
201;A;4;palm
202;A;2;palm
203;A;2;palm
204;A;1;palm
205;A;1;palm
206;A;1;palm
207;A;2;palm
208;A;1;palm
209;A;2;palm
210;A;3;palm
211;A;1;palm
212;A;1;palm
213;A;1;palm
214;A;1;palm
215;A;1;palm
216;A;1;palm
217;A;1;palm
218;A;1;palm
219;A;2;palm
220;A;4;palm
221;A;3;palm
222;A;1;palm
223;A;1;palm
224;A;1;palm
225;A;1;palm
226;A;1;palm
227;A;1;pine
227;B;3;pine
227;C;3;pine
227;D;2;pine
227;E;1;pine
227;F;1;pine
228;A;1;pine
228;B;1;pine
228;C;1;pine
228;D;3;pine
228;E;1;pine
229;A;1;palm
230;A;1;palm
231;A;1;palm
232;A;1;pine
232;B;1;pine
233;A;1;palm
234;A;2;palm
235;A;2;palm
236;A;2;palm
237;A;2;palm
238;A;3;palm
239;A;2;palm
240;A;1;palm
241;A;2;palm
242;A;1;NA
243;A;3;pine
243;B;1;pine
243;C;1;pine
243;D;1;pine
244;A;1;palm
245;A;5;palm
246;A;1;pine
246;B;1;pine
246;C;1;pine
247;A;1;pine
247;B;1;pine
247;C;2;pine
248;A;1;palm
249;A;1;pine
249;B;4;pine
249;C;2;pine
249;D;1;pine
249;E;1;pine
249;F;1;pine
249;G;1;pine
249;H;1;pine
249;I;1;pine
250;A;2;pine
250;B;2;pine
250;C;1;pine
250;D;1;pine
250;E;2;pine
250;F;1;pine
250;G;1;pine
251;A;1;palm
252;A;1;palm
253;A;1;palm
254;A;1;palm
255;A;1;palm
256;A;1;palm
257;A;1;palm
258;A;1;palm
259;A;1;palm
