id;tree_manual;nest_manual;area;nest;tree
J14;202;202 A 2;square left;202 A 2;202, 201
D86;210;210 A 1;square left;210 A 1, 230 A 1, 254 A 1, 256 A 1, 259 A 1;210, 230, 254, 256, 259
J43;216;216 A 1;square right;219 A 1, 216 A 1, 258 A 1;219, 216, 258
E36;203;203 A 1;square left;203 A 1, 203 A 2, 202 A 2;201, 204, 203, 253, 202
J89;201;201 A 2;square left;201 A 2;201
T30;202;202 A 1;square left;202 A 1, 202 A 2;202
R20;211;211 A 1;square right;212 A 1, 211 A 1;212, 211
U20;213;213 A 1;square right;213 A 1, 229 A 1, 224 A 1, 256 A 1, 254 A 1;213, 254, 229, 224, 256
K70;213;213 A 1;square right;213 A 1, 229 A 1, 224 A 1, 256 A 1, 254 A 1;213, 254, 229, 224, 256
K41;230;230 A 1;square left;215 A 1, 230 A 1, 214 A 1, 257 A 1, 252 A 1;214, 215, 230, 257, 252
T76;218;;square right;;218
E89;227;227 B 1;lake;;227
E84;227;227 B 1;lake;227 B 1, 227 D 1;227
I65;227;227 B 2;lake;;227
H40;228;228 D 1;lake;228 D 2, 228 D 1;228
S81;221;221 A 3;square right;221 A 1, 221 A 2, 221 A 3;221
N09;221;221 A 2;square right;222 A 1, 221 A 2;222, 221, 251
J13;204;204 A 1;square left;204 A 1, 204.0 A 1;204, 206, 204.0, 203
T24;211;211 A 1;square right;211 A 1, 212 A 1;212, 211, 210
T50;219;219 A 1;square right;251 A 1, 218 A 1, 219 A 2, 219 A 1;218, 251, 219
T78;219;219 A 1;square right;251 A 1, 219 A 2, 219 A 1;218, 251, 219
K64;228;;lake;;228
M38;210;210 A 2;square left;210 A 2, 215 A 1, 257 A 1, 210 A 1;210, 215, 209, 254, 257
T71;209;209 A 1;square left;209 A 1, 209 A 2;209
N23;210;210 A 1;square left;210 A 1, 230 A 1, 256 A 1, 254 A 1, 259 A 1;210, 229, 230, 212, 256, 254, 259
T81;252;252 A 1;square right;219 A 1, 252 A 1, 216 A 1;217, 253, 219, 252, 216, 251
I80;227;227 F 1;lake;227 F 1;227
U90;207;207 A 1;square left;207 A 1, 207 A 2;207, 208
R18;209;209 A 1;square left;209 A 2, 209 A 1;209
E87;227;227 B 1;lake;;227
V19;249;249 B 1;museum;249 B 1;249
J02;249;249 B 2;museum;249 B 2, 249 C 1;249
K76;249;249 B 1;museum;249 B 1, 249 B 3;249
T03;227;227 F 1;lake;227 F 1;227
H38;227;227 E 1;lake;227 E 1;227
V01;204;204 A 1;square left;204 A 1;204, 203
E93;249;249 E 1;museum;249 E 1;249
G73;249;249 E 1;museum;249 E 1;249
U59;250;250 B 1;museum;250 B 1, 250 B 2;250
U55;250;250 B 1;museum;250 B 1, 250 B 2, 250 C 1;250
T92;250;250 A 1;museum;250 A 1;250
V21;250;250 C 1;museum;250 C 1;250
H51;250;250 C 1;museum;250 C 1;250
U37;250;250 F 1;museum;250 F 1;250
T48;221;221 A 2;square right;221 A 2;221
T40;221;221 A 3;square right;221 A 3;221
V08;220;220 A 3;square right;220 A 3, 221 A 3;220, 221
V05;220;220 A 3;square right;220 A 3, 220 A 4;220
V04;207;207 A 1;square left;207 A 2, 208 A 1, 207 A 1;207, 208
V03;207;207 A 1;square left;207 A 2, 207 A 1, 249 D 1, 208 A 1;207, 208, 249
U99;205;205 A 1;square left;;253, 205
T51;252;252 A 1;square right;252 A 1;252
V06;220;220 A 4;square right;220 A 4, 220 A 1, 220 A 3;220
V07;220;220 A 4;square right;220 A 2, 220 A 4;220, 219
V00;220;220 A 4;square right;220 A 4, 220 A 2;220
V11;231;231 A 1;mid;231 A 1;231
U70;250;250 F 1;museum;250 F 1, 250 D 1, 250 C 1;250
J83;201;201 A 2;square left;201 A 2;201
U35;250;250 B 1;museum;250 B 1;250
V02;210;210 A 2;square left;210 A 2, 210 A 1;210, 254, 215, 209
U45;227;227 E 1;lake;227 E 1;227
S93;249;;museum;;249, 250
U38;250;250 F 1;museum;250 F 1;250
E88;227;;lake;;227
J79;227;227 B 2;lake;227 B 2;227
U85;224;224 A 1;mid;224 A 1;224, 247
U62;226;;mid;;226
H83;249;249 D 1;museum;249 D 1;249, 227
V13;249;249 D 1;museum;249 D 1;249, 227
E59;250;250 A 2;museum;250 A 2;250
K56;238;238 A 1;far;238 A 1;238
V12;245;;far;;251, 245, 255
S43;239;239 A 1;far;239 A 1;226, 239
L09;249;249 G 1;museum;249 G 1, 249 I 1;249
J84;201;201 A 2;square left;201 A 2;201
S45;250;250 B 1;museum;250 B 1, 250 B 2;250
J03;228;;lake;;228
H81;249;;museum;;249
S76;249;249 A 1;museum;249 A 1;249
G74;250;250 B 2;museum;250 B 2;250
S26;249;249 A 1;museum;249 A 1, 249 B 1;249
U46;211;211 A 1;square right;212 A 1, 211 A 1;211, 212, 210
U83;250;250 F 1;museum;250 F 1;250
E38;250;;museum;;250
U42;236;;far;;236, 247
K49;235;235 A 1;far;235 A 1;235
V18;235;;far;;235
K96;237;237 A 1;far;237 A 1;237
V10;246;246 C 1;far;246 C 1;246, 228
L23;243;;far;;243
H12;227;;lake;;227
U47;237;;far;;237
V20;237;;far;;237
J78;243;;far;;243
H43;243;;far;;243
U82;247;;far;;247
S19;247;;far;;247
R83;245;;far;;245
U97;243;;far;;243
T46;221;;square right;;221
E01;229;229 A 1;square left;229 A 1, 259 A 1;229, 259
U68;229;229 A 1;square left;229 A 1, 259 A 1;229, 259
U87;249;;museum;;250, 249
U69;250;250 A 2;museum;250 A 2;250
T80;202;202 A 1;square left;202 A 1;202
I12;227;;lake;;227
V16;203;203 A 1;square left;203 A 1;203, 253
T49;221;221 A 3;square right;221 A 3;221
L15;249;249 G 1;museum;249 G 1, 249 I 1;249
U39;250;;museum;;250
J73;227;;lake;;227
