observer;recording_file;date;time_start;tree;nest;entry;bird_id;at_nest;in_nest;building;note
Andrés;;28_10_20;14_59;24;A;;;;;;
Andrés;;28_10_20;14_59;24;B;1;un;1;;;
Andrés;;28_10_20;14_59;24;B;1;un;1;;;
Andrés;;28_10_20;14_59;24;C;1;G32;;1;;
Andrés;;28_10_20;14_59;24;F;1;un;1;;;
Andrés;;28_10_20;15_15;26;A;1;un;1;;1;
Andrés;;28_10_20;15_21;27;A;1;;;;;
Andrés;;28_10_20;15_34;28;;;;;;;
Andrés;;28_10_20;15_43;29;B;1;un;;1;;touching I04
Andrés;;28_10_20;15_43;29;B;1;I04;;1;;touching un
Andrés;;28_10_20;15_43;29;G;1;P67;1;;;
Andrés;;28_10_20;15_56;35;;;;;;;
Andrés;;29_10_20;12_06;30;B;1;X;1;;;
Andrés;;29_10_20;12_16;31;A;1;X;;1;;
Andrés;;29_10_20;12_16;31;B;;X;;1;;
Andrés;;29_10_20;12_30;39;A;;X;;;1;didn't record if building out/inside
Andrés;;29_10_20;12_30;39;A;;EX4;;;1;didn't record if building out/inside
Andrés;;29_10_20;12_46;32;A;1;un;;1;;
Andrés;;29_10_20;12_46;32;A;1;IXX;;1;;
Andrés;;29_10_20;12_46;32;D;;PXX;1;;;near the nest (<50cm)
Andrés;;29_10_20;12_46;32;D;;TXX;1;;;near the nest (<50cm)
Andrés;;29_10_20;12_46;32;C;1;X;1;;;
Andrés;;29_10_20;12_46;32;C;1;un;1;;;
Andrés;;29_10_20;12_46;32;B;1;X;1;;;
Andrés;;29_10_20;12_46;32;B;1;X;1;;;
Andrés;;29_10_20;13_01;33;A;1;P75;1;;1;
Andrés;;29_10_20;13_01;33;A;1;K52;;1;1;
Andrés;;29_10_20;13_01;33;B;1;E88;1;;;
Andrés;;29_10_20;13_18;34;;;;;;;
Andrés;;29_10_20;13_31;36;B;1;un;;1;;
Andrés;;29_10_20;13_31;36;C;;un;1;;;
Andrés;;29_10_20;13_31;36;D;1;SX7;1;;;
Andrés;;29_10_20;13_31;36;D;1;un;1;;;
Andrés;;29_10_20;13_31;36;A;1;KXX;;1;1;
Andrés;;29_10_20;13_31;36;A;;un;1;;;near
Andrés;;29_10_20;14_08;37;B;1;D32;;1;;
Andrés;;29_10_20;14_08;37;B;1;X;1;;;
Andrés;;29_10_20;14_08;37;B;1;unknown;1;;;
Andrés;;29_10_20;14_08;37;A;2;X;1;;;
Andrés;;29_10_20;14_08;37;A;;X;1;;;
Andrés;;29_10_20;14_26;23;;;;;;;
Andrés;;30_10_20;12_36;40;;;;;;;
Andrés;;30_10_20;12_53;41;A;2;S34;;1;1;
Andrés;;30_10_20;12_53;41;A;2;R83;;1;;
Andrés;;30_10_20;13_03;13;A;1;R20;;1;1;
Andrés;;30_10_20;13_03;13;;;R23;1;;;
Andrés;;30_10_20;13_12;12;A;1;T24;1;;;
Andrés;;30_10_20;13_12;12;A;4;D86;;1;;
Andrés;;30_10_20;13_18;11;A;1;unknown;;1;;
Andrés;;30_10_20;13_18;11;A;1;unknown;;1;;
Andrés;;30_10_20;13_33;14;A;2;M38;;1;;
Andrés;;30_10_20;13_33;14;A;2;L35;;1;;
Andrés;;30_10_20;13_33;14;A;1;un;;1;;
Andrés;;30_10_20;13_33;14;A;1;E01;;1;;
Andrés;;30_10_20;13_40;15;A;1;K70;;1;1;
Andrés;;30_10_20;13_40;15;A;1;unknown;;1;;
Andrés;;30_10_20;13_52;16;A;1;K80;1;1;;
Andrés;;30_10_20;13_52;16;A;1;un;1;1;;
Andrés;;30_10_20;14_03;17;;;;;;;
Andrés;;30_10_20;14_10;18;A;1;un;;1;1;
Andrés;;30_10_20;14_10;18;A;4;J43;;1;1;
Andrés;;30_10_20;14_16;19;A;1;T81;;1;;
Andrés;;30_10_20;14_16;19;A;1;un;1;1;1;First seen inside, then outside building
Andrés;;30_10_20;15_09;20;A;1;R87;1;1;1;seen building outside and inside
Andrés;;30_10_20;15_09;20;A;1;un;;1;1;
Andrés;;30_10_20;15_16;21;A;2;un;1;;1;
Andrés;;30_10_20;15_16;21;A;2;X;1;;1;
Andrés;;30_10_20;15_16;21;A;1;X;;1;1;
Andrés;;30_10_20;15_23;22;A;;;;;;
Andrés;;30_10_20;15_28;1;A;1;un;;1;;
Andrés;;30_10_20;15_28;1;A;;K62;1;;;
Andrés;;30_10_20;15_28;1;A;1;T30;1;;;
Andrés;;30_10_20;15_34;2;A;1;un;1;;;
Andrés;;30_10_20;15_34;2;A;1;M68;1;;;
