observer;recording_file;bird_id;tree;nest;entry;at_nest;in_nest;building;note;date;time_start
simeon;;un;1;A;;1;;;;26_10_20;14_11
simeon;;K26;1;A;1;;1;1;;26_10_20;14_11
simeon;;un;1;A;1;1;;1;;26_10_20;14_11
simeon;;N09;2;A;7;1;;;;26_10_20;14_20
simeon;;missing_right_eye;2;A;;1;1;;;26_10_20;14_20
simeon;;N_;2;A;9;;1;1;;26_10_20;14_20
simeon;;un;3;A;2;1;;1;;26_10_20;14_29
simeon;;E36;4;A;3;;1;;pretty sure about entry, but didn't write it down;26_10_20;14_35
simeon;;un;4;A;;;1;;;26_10_20;14_35
simeon;;T36;5;A;;1;;;vocalising, gets answer;26_10_20;14_41
simeon;;;6;A;;;;;;26_10_20;15_45
simeon;;;7;A;;;;;;26_10_20;15_51
simeon;;;8;A;;;;;;26_10_20;15_57
simeon;;;9;A;;;;;;26_10_20;16_03
simeon;;un;10;A;1;1;;;;26_10_20;16_07
simeon;;K41;10;A;5;1;;;low screech;26_10_20;16_07
simeon;;H51;24;D;1;1;;;;26_10_20;16_19
simeon;;un;24;F;1;1;;;;26_10_20;16_19
simeon;;;25;;;;;;;26_10_20;16_24
simeon;2020_10_27_081400;K33;25;C;1;;1;1;;;
simeon;2020_10_27_081400;J02;25;C;1;;1;1;;;
simeon;2020_10_27_085652;un;28;C;1;;1;;;;
simeon;2020_10_27_085652;stump;28;C;2;;1;;;;
simeon;2020_10_27_085652;I73;28;C;2;;1;;;;
simeon;2020_10_27_091634;I04;29;B;1;;;1;;;
simeon;2020_10_27_091634;un;29;B;1;;;1;;;
simeon;2020_10_27_091634;L80;29;A;1;;1;;;;
simeon;2020_10_27_095836;I65;32;A;1_2;;1;1;;;
simeon;2020_10_27_095836;E45;32;A;3;;1;1;;;
simeon;2020_10_27_095836;E45;32;A;1_2;;1;1;;;
simeon;2020_10_27_122942;R87;20;A;1;1;1;1;;;
simeon;2020_10_27_132148;T51;32;D;1;1;;;;;
simeon;2020_10_27_132148;E45;32;A;1_2;;1;;;;
simeon;2020_10_27_132148;u.I49;32;A;1_2;;1;;;;
simeon;2020_10_27_133646;T-76;26;A;1;1;;;;;
simeon;2020_10_27_133646;un;26;A;1;;1;;;;
simeon;2020_10_27_135234;I82;25;C;1;1;;;;;
simeon;2020_10_27_135234;K33;25;C;1;1;;;;;
simeon;2020_10_27_135234;T73;25;E;1;;1;;;;
simeon;2020_10_27_141106;L14;24;A;1;;1;;;;
simeon;2020_10_27_141106;P96;24;E;1;1;1;1;;;
simeon;2020_10_27_141106;L22;24;F;1;1;;;;;
simeon;2020_10_27_141106;H51;24;D;1;;1;1;;;
simeon;2020_10_27_141106;S17;24;E;1;1;;;;;
simeon;2020_10_29_081600;I02;25;C;1;1;1;1;;;
simeon;2020_10_29_083302;un;37;A;2;;1;;;;
simeon;2020_10_29_091754;T71;9;A;2;1;;;;;
simeon;2020_10_29_091754;R18;9;A;2;;1;;;;
simeon;2020_10_29_093914;J89;2;A;8;1;;;;;
simeon;2020_10_29_093914;un;2;A;8;1;;;;;
simeon;2020_10_29_095712;R87;20;A;1;;1;;;;
simeon;2020_10_29_095712;un;20;A;1;1;;1;;;
simeon;2020_10_29_100648;K70;15;A;1;;1;1;;;
simeon;2020_10_29_100648;U20;15;A;1;1;1;1;;;
simeon;2020_10_29_104946;R83;41;A;2;1;1;1;;;
simeon;2020_10_29_104946;S34;41;A;2;1;1;1;;;
simeon;2020_10_29_142556;I04;29;B;1;1;;1;;;
simeon;2020_10_29_154648;un;1;A;1;;1;;;;
simeon;2020_10_29_155446;K41;10;A;1;1;;;;;
simeon;2020_10_29_170216;E45;32;A;;1;;;;;
simeon;2020_10_29_171214;K52;33;A;1;1;1;;;;
simeon;2020_11_02_081248;T24;12;A;;1;;1;;;
simeon;2020_11_02_094256;E59;24;C;1;;1;;;;
simeon;2020_11_02_094256;G32;24;C;2;;1;;;;
simeon;2020_11_02_132350;J46;7;A;;1;;;;;
simeon;2020_11_02_133434;E36;4;A;2;1;;1;;;
simeon;2020_11_02_144820;S32;28;E;;1;;;;;
simeon;2020_11_02_153828;K52;33;A;1;;1;1;;;
simeon;2020_11_02_162934;T90;5;A;;;;;;;
simeon;2020_11_02_162934;T63;5;A;;1;;1;;;
simeon;2020_11_03_083050;L22;24;F;1;1;;1;;;
simeon;2020_11_03_083050;un;24;F;1;;1;1;;;
simeon;2020_11_03_091056;J46;7;A;1;;1;;;;
simeon;2020_11_03_091056;J13;7;A;1;1;1;;;;
simeon;2020_11_03_092342;T63;5;A;6;;1;1;;;
simeon;2020_11_03_092342;T90;5;A;6;1;;1;;;
simeon;2020_11_03_092342;un;5;A;6;;1;1;;;
simeon;2020_11_03_092342;un;5;A;6;;1;;;;
simeon;2020_11_04_095844;R16/8;9;A;2;;1;;;;
simeon;2020_11_04_095844;T71;9;A;2;;1;;;;
simeon;2020_11_04_101610;un + un;4;A;2;;1;;;;
simeon;2020_11_04_102510;N09;2;A;5;;1;;;;
simeon;2020_11_04_102730;un + un;22;A;1;;1;;;;
simeon;2020_11_04_103222;T40;21;A;1;1;;;;;
simeon;2020_11_04_103222;JX4;21;A;1;1;;;;;
simeon;2020_11_04_103854;D86;13;A;;1;;;;;
simeon;2020_11_04_103854;N22;13;A;3;1;;1;;;
simeon;2020_11_04_171044;J21;37;B;1;1;;;;;
simeon;2020_11_04_171044;D39;37;B;1;;1;;;;
simeon;2020_11_04_171044;D39;37;A;3;;1;;;;
simeon;2020_11_04_171044;T44;35;B;;1;;;;;
simeon;2020_11_04_171044;un;35;B;;1;;1;;;
simeon;2020_11_04_172610;P76;28;H;2;1;;;;;
simeon;2020_11_04_172610;un;28;H;2;1;;;;;
simeon;2020_11_04_172610;P76;28;E;2;;1;;;;
simeon;2020_11_04_172610;S22;28;E;2;;1;;;;
simeon;2020_11_07_140600;K41;10;A;3;1;;1;;;
simeon;2020_11_07_160708;R20;13;A;1;1;;;;;
simeon;2020_11_07_160708;S07;13;A;1;1;;;;;
simeon;2020_11_07_170308;E23;37;A;3;;1;;;;
simeon;2020_11_11_073314;T93;1;A;2;;1;;;;
simeon;2020_11_11_073314;S53;1;A;2;;1;;;;
simeon;2020_11_11_073314;un;1;A;1;;1;;;;
simeon;2020_11_11_085250;E59;24;C;2;;1;;;;
simeon;2020_11_11_085250;un;24;F;1;;1;;;;
simeon;2020_11_11_085250;S57;24;E;;1;;;;;
simeon;2020_11_11_085250;K76;25;B;2;;1;;;;
simeon;2020_11_11_094702;I73;28;C;3;1;1;1;;;
simeon;2020_11_11_094702;stump;28;C;3;;1;;;;
simeon;2020_11_11_094702;un;28;B;;;1;;;;
simeon;2020_11_11_125340;I87;24;B;1;1;;;;;
simeon;2020_11_11_125340;K76;25;;;1;;1;;;
simeon;2020_11_11_125340;J02;25;C;;1;;1;;;
simeon;2020_11_11_125340;HX3;25;A;;1;;;;;
simeon;2020_11_11_125340;stump;25;A;;1;;;;;
simeon;2020_11_11_125340;I94;25;A;;1;;;;;
simeon;2020_11_11_125340;J03;25;A;;1;;;;;
simeon;2020_11_11_125340;K33;25;C;;;1;;;;
simeon;2020_11_11_132802;J89;2;A;3;;1;;;;
simeon;2020_11_11_132802;un;2;A;3;;1;1;;;
simeon;2020_11_11_132802;un;2;A;8;;1;;;;
simeon;2020_11_11_132802;stump;2;A;8;;1;;;;
simeon;2020_11_11_140634;D39;37;A;3;;1;;;;
simeon;2020_11_12_081236;K76;25;B;2;;1;1;;;
simeon;2020_11_12_081236;un;25;B;;1;;;;;
simeon;2020_11_12_081236;K33;25;C;1;;1;1;;;
simeon;2020_11_12_081236;J02;25;C;1;;1;1;;;
simeon;2020_11_12_082732;M68;2;A;;1;;;;;
simeon;2020_11_12_084620;U20;15;A;1;1;;;;;
simeon;2020_11_12_084620;K70;15;A;1;1;;;;;
simeon;2020_11_12_085110;M23;13;A;;1;;;;;
simeon;2020_11_12_085110;D86;13;A;;1;;;;;
simeon;2020_11_12_093124;T44;35;B;;1;;;;;
simeon;2020_11_12_093124;un;35;B;;1;1;1;;;
simeon;2020_11_12_103202;T07;26;;;;;;;;
simeon;2020_11_12_133920;S24;30;B;;1;;1;;;
simeon;2020_11_12_133920;un;30;B;;1;;1;;;
simeon;2020_11_12_134904;H86;36;D;;1;;;;;
simeon;2020_11_12_165942;K96;55;A;1;;1;;;;
simeon;2020_11_12_165942;un;55;A;1;;1;;;;
simeon;2020_11_17_082744;I00;27;A;1;1;;;;;
simeon;2020_11_17_090258;N23;13;A;3;;1;;;;
simeon;2020_11_17_090258;D86;13;A;3;;1;;;;
simeon;2020_11_17_091520;K70;15;A;1;1;;;;;
simeon;2020_11_17_091520;U20;15;;;1;;;;;
simeon;2020_11_17_091520;T97;14;A;;1;;;;;
simeon;2020_11_17_100404;E41;37;;;1;;;;;
simeon;2020_11_17_100404;D39;37;A;1;;1;;;;
simeon;2020_11_17_105736;P51;32;D;;1;;1;;;
simeon;2020_11_17_105736;HXX;32;A;3;1;;;;;
simeon;2020_11_17_111344;E87;38;A;1;;1;;;;
simeon;2020_11_17_111344;E89;38;A;1;;;;;;
simeon;2020_11_17_111344;S30;38;;;1;;;;;
simeon;2020_11_17_111344;S24;38;;;1;;;;;
simeon;2020_11_17_140236;H40;31;A;1;1;;;;;
simeon;2020_11_17_140236;stump;31;A;1;;1;;;;
simeon;2020_11_17_140236;X;31;B;1;;1;;;;
simeon;2020_11_18_074408;U20;15;;;1;;;;;
simeon;2020_11_18_074408;K70;15;;;1;;;;;
simeon;2020_11_18_074408;T97;15;;;1;;;;;
simeon;2020_11_18_075144;un;14;A;1;;1;;;;
simeon;2020_11_18_075144;K80;14;;;1;;;;;
simeon;2020_11_18_075144;T97;14;;;1;;;;;
simeon;2020_11_18_075144;U20;14;;;1;;;;;
simeon;2020_11_18_075546;S11;41;;;1;;;;;
simeon;2020_11_18_075546;T99;41;;;1;;;;;
simeon;2020_11_18_085756;S17;24;E;;1;;;;;
simeon;2020_11_18_085756;J72;25;C;;1;;;;;
simeon;2020_11_18_085756;K76;25;C;2;;1;;;;
simeon;2020_11_18_085756;P69;24;E;;1;;;;;
simeon;2020_11_18_085756;S57;24;E;;1;;;;;
simeon;2020_11_18_085756;un;24;F;;1;;;;;
simeon;2020_11_18_143358;S09;25;A;2;1;;;;;
simeon;2020_11_18_143358;J03;25;A;2;;1;1;;;
simeon;2020_11_18_143358;K76;25;B;1;1;1;;;;
simeon;2020_11_18_143358;un;25;B;;1;;;;;
simeon;2020_11_18_143358;un;25;B;2;;1;;;;
simeon;2020_11_18_143358;J02;25;C;1;1;;;;;
simeon;2020_11_18_143358;K33;25;C;1;;1;;;;
simeon;2020_11_18_154718;J46;7;;;;;;;;
simeon;2020_11_18_155520;R20;13;;;1;;;;;
simeon;2020_10_27_150438;I85;32;A;;;;;;;
simeon;2020_10_27_150438;PX1;32;D;2;1;;;;;
simeon;2020_10_27_150438;un;32;D;2;1;;;;;
simeon;2020_10_27_172642;S37;24;B;1;;1;;;;
simeon;2020_10_27_172642;un;24;B;1;;1;;;;
simeon;2020_10_27_174950;C54;29;A;1;;1;;;;
simeon;2020_10_27_174950;L80;29;A;1;;1;;;;
simeon;2020_10_27_174950;un + un;29;B;1;;1;;;;
simeon;2020_10_27_175526;X76;29;E;1;;1;;;;
simeon;2020_10_27_175526;X;29;E;1;;1;;;;
simeon;2020_10_28_090816;I73;28;C;1;;1;;;;
simeon;2020_10_28_090816;un + un;28;C;3;;1;;;;
simeon;2020_10_28_090816;un;28;B;1;;1;;;;
simeon;2020_10_28_090816;I73;28;C;1;;1;;;;
simeon;2020_10_28_090816;stump;28;C;;1;;1;;;
simeon;2020_10_28_091842;C54;29;A;1;;1;;;;
simeon;2020_10_28_091842;I04;29;B;1;;1;;;;
simeon;2020_10_28_091842;un;29;B;1;;1;;;;
simeon;2020_10_28_094604;X39;37;B;1;1;;;;;
simeon;2020_10_28_103910;T71;9;A;2;;1;;;;
simeon;2020_10_28_103910;RX8;9;A;1;;1;;;;
simeon;2020_10_28_162216;S17;24;E;1;1;;;;;
simeon;2020_10_28_162216;P69;24;E;1;1;;;;;
simeon;2020_10_28_162216;L22;24;F;;1;;;;;
simeon;2020_10_28_162216;un;24;F;;1;;;;;
simeon;2020_10_28_162216;N74;24;A;1;;1;1;;;
simeon;2020_10_28_162216;G32;24;C;;1;;1;;;
