annotation_ref;uncertain;bird;behaviour;location;others;association;notes
2;;K70;retreating in nest;in 15A1;U20, X;close, in other nest;
3;;K70;building nest;in 15A1;U20;same nest;
4;;J70;flying from nest;15A1;U20;together;
5;;E01;flying from nest;14A;un, X;same tree;
6;;S07;on nest;;R29, N23, D96;close;
7;;D96;on nest;;R20;;
8;;D96;aggitated on nest;;R20;;
9;;N23;on nest;;D96;close;
10;;S34;in nest building;41A2;R83;on nest building;
11;;S34;leaving nest;41A2;R83;in same nest;
12;;C54;flying away;d tree;;;maybe me or two dogs
13;;T03;perched, looking around;d tree;none;;
14;;T03;flying away;d tree;none;;
15;;S41;flying between trees;d tree;un, un;in same tree;me talking in background first call
16;;S46;perched, looking around;24;;;not always sure what is was doing, it was perched
17;;S46;perched, maybe call response;24;;;
18;;E59;;24;;;
19;;S46;flying away;24;X, X, X;flying away together;
20;;M38;perched;d tree;none;;
21;;T81;perched;d tree;;;
22;;T81;perched, looking around;d tree;;;
23;;T81;perched, bus driving by;d tree;;;
24;;I73;in nest;28C2;;;
25;;L80;in nest;29A1;;;
26;;R87;building nest;20A1;;;
27;1;I49;leaving nest;32A1;;;
28;;P69;at nest;2400;;;
29;;S05;displacement;tree;pigeon;;
30;;S05;foraging;tree;alone;;
31;1;J43;alarm dog fly from ground;ground;;;
32;;J71;perched;tree;alone;;
33;;J71;flying away;;;;
34;;S48;flying away;;;;
35;;S48;perched;tree;UK;close;
36;;stump.with.H67;looking up from preening;;H67;preening;
37;;I02;building nest;25C1;;;
38;;R18;;d tree;;;
39;;R18;moving between trees;d tree;;;
40;;T71;;;;;
41;1;T71;at nest;9A2;;;
42;;T71;at nest;9A2;;;
43;;J89;;;;;
44;;K62;at nest;01A1;;;
45;;K62;at nest;01A1;un, un, un, un;;
46;;R87;in nest just before arrival others;20A1;;;
47;;R87;in nest;20A1;un;building same nest;
48;;R87;in nest;20A1;;;
49;;K41;on nest;10A1;un;around;
50;;K41;flying away;10A1;;;
