file;selected;discard;situation_recording;birds;utm;nest;notes
2020_10_27_074724;1;1;two untagged at nest;;;;
2020_10_27_075108;1;1;two untagged at nest;;;;
2020_10_27_081400;1;1;nest building, stealing sticks;K33, J02;;25C1;
2020_10_27_083448;1;1;perched, preening, 4-6 birds;P58;421865 4582071;;
2020_10_27_085652;1;;one vocalisation, maybe noisy;I73;;28;
2020_10_27_091634;1;;L80 with very long sequence in nest;L80, I04, C54;;29;
2020_10_27_092210;1;1;only for social data;P64;432096 4582198;;
2020_10_27_095836;1;1;only for nest data;I65, E45;;32A;
2020_10_27_121816;1;1;;;;;
2020_10_27_121938;1;1;;;;;
2020_10_27_122942;1;;vocalisation for R87;R87;;20A1;
2020_10_27_124046;1;1;;S49;;30;
2020_10_27_130302;1;1;foraging group on ground;;431929 4582215;;
2020_10_27_132148;1;;probably I49 leaving nest with vocalisations;I49;;32A1;
2020_10_27_133646;1;1;nesting;;;26A1;
2020_10_27_135234;1;1;nesting;;;25;
2020_10_27_141106;1;;one vocalisation;S17;;24;
2020_10_27_142238;1;;single bird foraging tree;S05;431813 4582112;;
2020_10_27_144508;1;;foraging group on ground, alarm call probably J43;J43;431862 4582318;;
2020_10_27_150438;1;1;nest;;;32;
2020_10_27_164006;1;1;;;;;
2020_10_27_164622;1;1;foraging;;431694 4582250;;
2020_10_27_165316;1;1;foraging palm;;431681 4582276;;
2020_10_27_170640;1;;perched, vocs;S10;431795 4582112;;
2020_10_27_170916;1;1;;;;;
2020_10_27_172642;1;1;nest;;;24;
2020_10_27_173014;1;1;perched d tree;;431848 4582072;;
2020_10_27_173322;1;1;perched d tree;;431873 4582065;;
2020_10_27_174950;1;1;nest;;;29;
2020_10_27_175526;1;1;nest;;;28;
2020_10_28_071356;1;1;perched d tree;;431502 4582429;;
2020_10_28_072642;1;1;perched d tree;;431812 4582293;;
2020_10_28_073948;1;;perched, vocs;S24;431979 4582464;;
2020_10_28_075520;1;1;;;;;
2020_10_28_082632;1;;foraging, vocs;E87;431934 4582225;;
2020_10_28_083428;1;1;foraging grass;;;24;
2020_10_28_084520;1;1;perched d tree;;431997 4581948;;
2020_10_28_084732;1;1;;;;;
2020_10_28_090816;1;;nest, vocs;J36, I73;;28;
2020_10_28_091842;1;1;nest;;;29;
2020_10_28_093142;1;;perched, vocs;;432179 4582088;;
2020_10_28_094604;1;1;nest;;;37;
2020_10_28_095928;1;;perched, vocs;S24;432040 4582270;;
2020_10_28_101856;1;;nest, vocs;R83;;41;
2020_10_28_102622;1;;perched, vocs;I49;;10;
