Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	321.841834811	322.101467206	0.000	22050.000	
1	Spectrogram 1	1	321.841834811	322.101467206	0.000	22050.000	
2	Waveform 1	1	328.123281889	328.461932839	0.000	22050.000	
2	Spectrogram 1	1	328.123281889	328.461932839	0.000	22050.000	
3	Waveform 1	1	357.608563733	357.873840310	0.000	22050.000	
3	Spectrogram 1	1	357.608563733	357.873840310	0.000	22050.000	
4	Waveform 1	1	361.925160144	362.190436722	0.000	22050.000	
4	Spectrogram 1	1	361.925160144	362.190436722	0.000	22050.000	
5	Waveform 1	1	454.482999088	454.742631483	0.000	22050.000	
5	Spectrogram 1	1	454.482999088	454.742631483	0.000	22050.000	
