observer;recording;date;time_start;tree;nest;entry;utm;what;food;location;group_size;group;from;to;which;winner;started;note
Andrés;;28_10_20;15_43;29;B;1;;perched ?;;nest tree;2;I04,un;un;I04;touching;;;
Andrés;;28_10_20;15_43;29;;;;perched;;nest tree;5;P67, S32, P36, L80, C54;;;;;;
Andrés;;28_10_20;15_43;29;;;;perched;;nest tree;2;S32, P36;S32;P36;touching;;;
Andrés;;28_10_20;15_43;29;;;;perched;;nest tree;2;S32, P36;S32;P36;10 cm;;;
Andrés;;28_10_20;15_43;29;G;1;;perched;;nest tree;2;L80, C54;L80;C54;touching;;;
Andrés;;28_10_20;15_43;29;G;1;;perched;;nest tree;2;L80, C54;L80;C54;10 cm;;;
Andrés;;29_10_20;13_31;36;D;;;perched;;nest tree;2;SX7, un;;;;;;
Andrés;;29_10_20;13_31;36;D;;;perched;;nest tree;2;SX7, un;SX7;un;10 cm;;;
Andrés;;29_10_20;13_31;36;D;;;perched;;nest tree;2;SX7, un;SX7;un;preening;;;
Andrés;;29_10_20;13_31;36;D;;;perched;;nest tree;2;SX7, un;un;SX7;preening;;;
Andrés;;29_10_20;13_31;36;D;;;perched;;nest tree;2;SX7, un;un;SX7;displacement;un;;
Andrés;;30_10_20;13_33;14;;;;perched;;nest tree;4;M38, L35, E01, un;;;;;;
Andrés;;30_10_20;13_33;14;A;2;;perched;;nest tree;4;M38, L35, E01, un;M38;L35;touching;;;
Andrés;;30_10_20;13_33;14;A;1;;perched;;nest tree;4;M38, L35, E01, un;un;E01;touching;;;
Andrés;;30_10_20;13_52;16;A;1;;perched;;nest tree;2;K80, un;K80;un;10 cm;;;
Andrés;;30_10_20;13_52;16;A;1;;perched;;nest tree;2;K80, un;K80;un;preening;;;
Andrés;;30_10_20;13_52;16;A;1;;perched;;nest tree;2;K80, un;un;K80;preening;;;
Andrés;;30_10_20;15_34;2;A;1;;perched;;nest tree;2;M68, un;M68;un;10 cm;;;
Andrés;;30_10_20;15_34;2;A;1;;perched;;nest tree;2;M68, un;M68;un;preening;;;
Andrés;;01_11_20;11_59;29;A;;;perched;;nest tree;5;C54, L80, I04, collar, un;;;;;;
Andrés;;01_11_20;11_59;29;A;1;;perched;;nest tree;5;C54, L80, I04, collar, un;C54;L80;preening;;;
Andrés;;01_11_20;11_59;29;A;1;;perched;;nest tree;5;C54, L80, I04, collar, un;L80;C54;preening;;;
Andrés;;01_11_20;12_08;28;C;2;;perched;;nest tree;2;I73, collar;I73;collar;touching;;;
Andrés;;01_11_20;13_04;46;D;1;;perched;;nest tree;2;L23, un;L23;un;touching;;;
Andrés;;01_11_20;13_30;37;;;;perched;;nest tree;2;T44, un;T44;un;10 cm;;;
Andrés;;01_11_20;13_30;37;;;;perched;;nest tree;2;T44, un;T44;un;touching;;;
Andrés;;01_11_20;13_30;37;;;;perched;;nest tree;2;T44, un;T44;un;fighting;T44;;
Andrés;;01_11_20;14_18;33;D;;;perched;;nest tree;2;E88, EX7;E88;EX7;10 cm;;;
Andrés;;01_11_20;14_18;33;D;;;perched;;nest tree;2;E88, EX7;E88;EX7;touching;;;
Andrés;;03_11_20;14_48;1;;;;foraging;grass;ground;4;J89,M68,M09, un;;;;;;
Andrés;;04_11_20;12_20;33;A;1;;perched;;nest tree;2;X,X;X;X;preening;;;
Andrés;;04_11_20;12_20;33;A;1;;perched;;nest tree;2;X,X;X;X;preening;;;
