observer;recording;new_flock;what;food;location;group_size;group;from;to;which;winner;started;note;date;time_start;tree;nest;entry;utm
simeon;;;;;in nest;;;E36;un;preening;;;;26_10_20;14_35;4;A;3;
simeon;;;;;in nest;;;un;E36;preening;;;;26_10_20;14_35;4;A;3;
simeon;2020_10_27_083448;;;;;;;P58;un;preening;;;;;;;;;
simeon;2020_10_27_083448;;;;;;;un;P58;preening;;;;;;;;;
simeon;2020_10_27_083448;;;;perched tree;4;P58, un, un, un;P58;un;10 cm;;;;;;;;;
simeon;2020_10_27_083448;;;;perched tree;4;P58, un, un, un;P58;un;touching;;;;;;;;;
simeon;2020_10_27_085652;;;;in nest;2;I73, stump;I73;stimp;touching;;;;;;28;C;2;
simeon;2020_10_27_091634;;;;;2;C54, L80;C54;L80;touching;;;;;;29;;;
simeon;2020_10_27_091634;;;;;2;C54, L80;C54;L80;10 cm;;;;;;29;;;
simeon;2020_10_27_092210;;;;;3;un, P64, un;;;;;;;;;;;;
simeon;2020_10_27_130302;;foraging;;ground;8;S12, K48, un, S21, S43, P51, S49, un;;;;;;;;;;;;
simeon;2020_10_27_130302;;;;;;;un;S43;displacement;un;un;;;;;;;
simeon;2020_10_27_130302;;;;;;;un;S12;displacement;un;un;;;;;;;
simeon;;;perched;;tree;2;I00, XX4;I00;XX4;10 cm;;;near tree, not in it;28_10_20;15_21;27;;;
simeon;;;perched;;tree;2;I00, XX4;I00;XX4;touching;;;near tree, not in it;28_10_20;15_21;27;;;
simeon;;;perched;;nest tree;1;P76;;;;;;;28_10_20;15_46;29;;;
simeon;2020_10_27_141106;;;;;2;S09, T92;S09;T92;10 cm;;;;;;24;;;
simeon;2020_10_27_141106;;perched;;nest tree;;;un;S17;displacement;un;un;;;;24;;;
simeon;2020_10_27_142238;;foraging;;tree;1;S05;;;;;;;;;;;;
simeon;2020_10_27_144508;;;;;2;J43, un;J43;un;10 cm;;;;;;;;;
simeon;2020_10_27_144508;;foraging;;ground;;;J43;un;displacement;J43;J43;;;;;;;
simeon;2020_10_27_144508;;;;tree;2;H40, un;H40;un;10 cm;;;;;;;;;
simeon;2020_10_27_144508;;foraging;;ground;;;un;T24;displacement;un;un;;;;;;;
simeon;2020_10_27_144508;;foraging;;ground;;;J43;un;displacement;J43;J43;;;;;;;
simeon;2020_10_29_075834;;;;;4;S48, H67, stump, un;;;;;;;;;;;;
simeon;2020_10_29_075834;;;;;;;;;;;;;;;;;;
simeon;2020_10_29_075834;;perched;;tree;1;S48;;;;;;;;;;;;
simeon;2020_10_29_075834;;perched;;tree;2;H67, stump;H67;stump;touching;;;;;;;;;
simeon;2020_10_29_075834;;perched;;tree;2;H67, stump;H67;stump;10 cm;;;;;;;;;
simeon;2020_10_29_075834;;perched;;tree;2;H67, stump;H67;stump;preening;;;;;;;;;
simeon;2020_10_29_075834;;perched;;tree;;;stump;H67;preening;;;;;;;;;
simeon;2020_10_29_085704;;foraging;;d tree;2;S00, S16;S00;S16;10 cm;;;;;;;;;
simeon;2020_10_29_093914;;;;nest tree;2;K62, un;K62;un;10 cm;;;;;;;;;
simeon;2020_10_29_093914;;;;nest tree;;;un;K62;preening;;;;;;;;;
simeon;2020_10_29_102650;;foraging;bread;tree;6;R20, E01, R83, L35, T71, un;;;;;;;;;;;;
simeon;2020_10_29_104156;;;;;;N23, D96;N23;D96;touching;;;;;;;;;
simeon;2020_10_29_104156;;;;;;N23, D96;N23;D96;10 cm;;;;;;;;;
simeon;2020_10_29_143406;;perched;;d tree;1;T03;;;;;;;;;;;;
simeon;2020_10_29_144306;;foraging;;ground;4;un, X, X, X;;;;;;;;;;;;
simeon;2020_10_29_144306;;foraging;;d tree;3;S41, un, un;;;;;;;;;;;;
simeon;2020_10_29_145816;;;;nest tree;;;S45;E59;displacement;S45;;;;;24;;;
simeon;2020_10_29_145816;;perched;;nest tree;3;E59, S46, S45;;;;;;;;;24;;;
simeon;2020_10_29_145816;;perched;;nest tree;;;;;;;;;;;24;;;
simeon;2020_10_29_145816;;perched;;nest tree;;;;;;;;;;;24;;;
simeon;2020_10_29_150204;;perched;;nest tree;;;;;;;;;;;24;;;
simeon;2020_10_29_152226;;perched;;d tree;1;M38;;;;;;;;;;;;
simeon;2020_10_29_153848;;perched;;d tree;2;T81, X;T81;X;displacement;T81;;;;;;;;
simeon;2020_10_29_154648;;perched;;nest tree;2;un, K62;;;;;;;;;1;;;
simeon;2020_10_29_155446;;perched;;nest;2;K41, un;;;;;;;;;10;A;1;
simeon;2020_10_29_160136;;foraging;;palm tree;2;U29, K70;;;;;;;;;;;;
simeon;2020_10_29_160136;;foraging;;palm tree;1;D86;;;;;;;;;;;;
simeon;2020_10_29_162652;;foraging;;ground;20;S23, T94, H40, stump, un, un, un, un ;S48;H67;10 cm;;;;;;;;;
simeon;2020_10_29_162652;;foraging;;ground;;;H40;un;displacement;H40;;;;;;;;
simeon;2020_10_29_163324;;perched;;nest tree;1;S49;;;;;;;;;;;;
simeon;2020_10_29_164646;;perched;;d tree;1;J52;;;;;;;;;;;;
simeon;2020_10_29_171214;;;;in nest;2;X, K52;X;K52;preening;;;;;;33;A;1;
simeon;2020_11_02_073204;;perched;;d tree;;J14, un;;;;;;;;;;;;
simeon;2020_11_02_075244;;foraging;fruits;palm tree;2;I49, I06;;;;;;;;;;;;
simeon;2020_11_02_075244;;foraging;fruits;palm tree;;un, K80, K70, I06;K80;H40;10 cm;;;;;;;;;
simeon;2020_11_02_075244;;foraging;fruits;palm tree;;un, K80, K70, I06;H40;un;10 cm;;;;;;;;;
simeon;2020_11_02_075244;1;foraging;fruits;palm tree;5;un, un, I80, T24, T03;;;;;;;;;;;;
simeon;2020_11_02_080044;;foraging;fruits;palm tree;4;un, un, un, H43;;;;;;;;;;;;
simeon;2020_11_02_080044;1;foraging;fruits;d tree;2;un, K70;;;;;;;;;;;;
simeon;2020_11_02_081248;;perched;;nest tree;4;un, un, un, T24;;;;;;;;;;;;
simeon;2020_11_02_081248;1;perched;;d tree;1;U20;;;;;;;;;;;;
simeon;2020_11_02_081248;;foraging;;ground;4;U20, un, un, un;un;U20;displacement;un;;;;;;;;
simeon;2020_11_02_081248;;foraging;;ground;4;U20, un, un, un;un;U20;fight;undetermined;;;;;;;;
simeon;2020_11_02_083252;;perched;;palm tree;4;H40;;;;;;;;;;;;
simeon;2020_11_02_084812;;foraging;fruits;palm tree;3;E41, F23, un;;;;;;;;;;;;
simeon;2020_11_02_084812;1;foraging;fruits;palm tree;5;un, un, un, J78, T87;;;;;;;;;;;;
simeon;2020_11_02_084812;;foraging;fruits;palm tree;;un, un, un, J78, T87, K48, E41, H38, J21, T78;E41;un;touching;;;;;;;;;
